time,algo,unpaid_total_amount,unpaid_algo_amount,profitability,balance
2021-03-30 14:35:00,52,0.00000907,0.00000050,0.00008352,
2021-03-30 14:30:00,20,0.00000878,0.00000830,0.00010368000000000001,
2021-03-30 14:30:00,52,0.00000878,0.00000048,0.00010368000000000001,
2021-03-30 14:25:00,20,0.00000842,0.00000797,0.00009504000000000001,
2021-03-30 14:25:00,52,0.00000842,0.00000045,0.00009504000000000001,
2021-03-30 14:20:00,20,0.00000809,0.00000765,0.00010944000000000001,
2021-03-30 14:20:00,52,0.00000809,0.00000044,0.00010944000000000001,
2021-03-30 14:15:00,20,0.00000771,0.00000730,0.00011232,
2021-03-30 14:15:00,52,0.00000771,0.00000041,0.00011232,
2021-03-30 14:10:00,20,0.00000732,0.00000694,0.00008352000000000001,
2021-03-30 14:10:00,52,0.00000732,0.00000038,0.00008352000000000001,
2021-03-30 14:05:00,20,0.00000703,0.00000666,0.00009504000000000001,
2021-03-30 14:05:00,52,0.00000703,0.00000037,0.00009504000000000001,
2021-03-30 14:00:00,20,0.00000670,0.00000634,0.000072,
2021-03-30 14:00:00,52,0.00000670,0.00000036,0.000072,
2021-03-30 13:55:00,20,0.00000645,0.00000611,0.00006336,
2021-03-30 13:55:00,52,0.00000645,0.00000034,0.00006336,
2021-03-30 13:50:00,20,0.00000623,0.00000593,0.00007487999999999999,
2021-03-30 13:50:00,52,0.00000623,0.00000030,0.00007487999999999999,
2021-03-30 13:45:00,20,0.00000597,0.00000570,0.00009504000000000001,
2021-03-30 13:45:00,52,0.00000597,0.00000027,0.00009504000000000001,
2021-03-30 13:40:00,20,0.00000564,0.00000540,0.00007488,
2021-03-30 13:40:00,52,0.00000564,0.00000024,0.00007488,
2021-03-30 13:35:00,20,0.00000538,0.00000517,0.00009216,
2021-03-30 13:35:00,52,0.00000538,0.00000021,0.00009216,
2021-03-30 13:30:00,20,0.00000506,0.00000488,0.00010368000000000001,
2021-03-30 13:30:00,52,0.00000506,0.00000018,0.00010368000000000001,
2021-03-30 13:25:00,20,0.00000470,0.00000456,0.0000864,
2021-03-30 13:25:00,52,0.00000470,0.00000014,0.0000864,
2021-03-30 13:20:00,20,0.00000440,0.00000429,0.0001008,
2021-03-30 13:20:00,52,0.00000440,0.00000011,0.0001008,
2021-03-30 13:15:00,20,0.00000405,0.00000398,0.00008928,
2021-03-30 13:15:00,52,0.00000405,0.00000007,0.00008928,
2021-03-30 13:10:00,20,0.00000374,0.00000369,0.000072,
2021-03-30 13:10:00,52,0.00000374,0.00000005,0.000072,
2021-03-30 13:05:00,20,0.00000349,0.00000349,0.00009216000000000001,
2021-03-30 13:05:00,52,0.00000349,0.00000000,0.00009216000000000001,
2021-03-30 13:00:00,20,0.00000327,0.00000327,0.00009792,
2021-03-30 12:55:00,20,0.00000293,0.00000293,0.00008928000000000001,
2021-03-30 12:50:00,20,0.00000262,0.00000262,0.00006624,
2021-03-30 12:45:00,20,0.00000239,0.00000239,0.00006048,
2021-03-30 12:40:00,20,0.00000218,0.00000218,0.00008928,
2021-03-30 12:35:00,20,0.00000187,0.00000187,0.00006336,
2021-03-30 12:30:00,20,0.00000165,0.00000165,0.00006624,
2021-03-30 12:25:00,20,0.00000142,0.00000142,0.00008640000000000001,
2021-03-30 12:20:00,20,0.00000112,0.00000112,0.00006336,
2021-03-30 12:15:00,20,0.00000090,0.00000090,0.00008928000000000001,
2021-03-30 12:10:00,20,0.00000059,0.00000059,0.00006912000000000002,
2021-03-30 12:05:00,20,0.00000035,0.00000035,0.00006912000000000002,
2021-03-30 12:00:00,20,0.00000011,0.00000011,0.00008928,
2021-03-30 11:59:59,20,0.00001317,0.00001317,0.00008064000000000001,
2021-03-30 11:55:00,20,0.00001297,0.00001297,0.00008928,
2021-03-30 11:50:00,20,0.00001266,0.00001266,0.00009504000000000001,
2021-03-30 11:45:00,20,0.00001233,0.00001233,0.00007200000000000002,
2021-03-30 11:40:00,20,0.00001208,0.00001208,0.00007776,
2021-03-30 11:35:00,20,0.00001181,0.00001181,0.00008064000000000001,
2021-03-30 11:30:00,20,0.00001153,0.00001153,0.00009504000000000001,
2021-03-30 11:25:00,20,0.00001120,0.00001120,0.000072,
2021-03-30 11:20:00,20,0.00001095,0.00001095,0.00009504000000000001,
2021-03-30 11:15:00,20,0.00001062,0.00001062,0.00008640000000000001,
2021-03-30 11:10:00,20,0.00001032,0.00001032,0.000057600000000000004,
2021-03-30 11:05:00,20,0.00001012,0.00001012,0.00009792,
2021-03-30 11:00:00,20,0.00000978,0.00000978,0.00006912000000000002,
2021-03-30 10:55:00,20,0.00000954,0.00000954,0.00009216000000000001,
2021-03-30 10:50:00,20,0.00000922,0.00000922,0.00006336,
2021-03-30 10:45:00,20,0.00000900,0.00000900,0.00008064000000000001,
2021-03-30 10:40:00,20,0.00000872,0.00000872,0.00008064000000000001,
2021-03-30 10:35:00,20,0.00000844,0.00000844,0.00009504000000000001,
2021-03-30 10:30:00,20,0.00000811,0.00000811,0.00007776000000000001,
2021-03-30 10:25:00,20,0.00000784,0.00000784,0.00006624,
2021-03-30 10:20:00,20,0.00000761,0.00000761,0.00007776,
2021-03-30 10:15:00,20,0.00000734,0.00000734,0.000054720000000000005,
2021-03-30 10:10:00,20,0.00000715,0.00000715,0.00007776000000000001,
2021-03-30 10:05:00,20,0.00000688,0.00000688,0.00006048,
2021-03-30 10:00:00,20,0.00000667,0.00000667,0.00006624,
2021-03-30 09:55:00,20,0.00000644,0.00000644,0.00006912000000000002,
2021-03-30 09:50:00,20,0.00000620,0.00000620,0.00009216000000000001,
2021-03-30 09:45:00,20,0.00000588,0.00000588,0.00007776000000000001,
2021-03-30 09:40:00,20,0.00000561,0.00000561,0.00006048000000000001,
2021-03-30 09:35:00,20,0.00000540,0.00000540,0.00007775999999999999,
