time,algo,unpaid_total_amount,unpaid_algo_amount,profitability,balance
2021-03-31 13:05:00,56,0.00000277,0.00000277,0.00014111999999999998,
2021-03-31 13:00:00,56,0.00000228,0.00000228,0.000034559999999999994,
2021-03-31 12:55:00,56,0.00000216,0.00000216,0.000020159999999999997,
2021-03-31 12:50:00,56,0.00000209,0.00000209,0.00008352,
2021-03-31 12:45:00,56,0.00000180,0.00000180,0.00007488000000000001,
2021-03-31 12:40:00,56,0.00000154,0.00000154,0.000046080000000000006,
2021-03-31 12:35:00,56,0.00000138,0.00000138,0.000008640000000000002,
2021-03-31 12:30:00,56,0.00000135,0.00000135,0.00006912000000000002,
2021-03-31 12:25:00,56,0.00000111,0.00000111,0.00006911999999999999,
2021-03-31 12:20:00,56,0.00000087,0.00000087,0.00007776000000000001,
2021-03-31 12:15:00,56,0.00000060,0.00000060,0.000020160000000000003,
2021-03-31 12:10:00,56,0.00000053,0.00000053,0.00006911999999999999,
2021-03-31 12:05:00,56,0.00000029,0.00000029,0.00006911999999999999,
2021-03-31 12:00:00,20,0.00000005,0.00000000,0.000072,
2021-03-31 12:00:00,56,0.00000005,0.00000005,0.000072,
2021-03-31 11:59:59,20,0.00002149,0.00000419,0.00008639999999999999,
2021-03-31 11:59:59,56,0.00002149,0.00001730,0.00008639999999999999,
2021-03-31 11:55:00,20,0.00002129,0.00000419,0.00011232,
2021-03-31 11:55:00,56,0.00002129,0.00001710,0.00011232,
2021-03-31 11:50:00,20,0.00002090,0.00000419,0.000028800000000000002,
2021-03-31 11:50:00,56,0.00002090,0.00001671,0.000028800000000000002,
2021-03-31 11:45:00,20,0.00002077,0.00000416,0.00007488,
2021-03-31 11:45:00,56,0.00002077,0.00001661,0.00007488,
2021-03-31 11:40:00,20,0.00002051,0.00000390,0.00004896,
2021-03-31 11:40:00,56,0.00002051,0.00001661,0.00004896,
2021-03-31 11:35:00,20,0.00002034,0.00000373,0.00004319999999999999,
2021-03-31 11:35:00,56,0.00002034,0.00001661,0.00004319999999999999,
2021-03-31 11:30:00,20,0.00002000,0.00000358,0.00017279999999999997,
2021-03-31 11:30:00,56,0.00002000,0.00001642,0.00017279999999999997,
2021-03-31 11:25:00,20,0.00001940,0.00000358,0.000046080000000000006,
2021-03-31 11:25:00,56,0.00001940,0.00001582,0.000046080000000000006,
